Possession_Status,new_or_resale,furnishing,bathrooms,price,location,date_of_posting,facing,overlooking,area,BHK,config,flat_floor_no.,total_floors,no_of_parking,parking_type,longitude,latitude
received,Resale,Unfurnished,4.0,4.5,Juhu Vile Parle Development Scheme,"Jan 14, '21",North - West,main road,1050.0,3,apartment,1,15,1,Covered,,
not received,New Property,Unfurnished,2.0,0.49,Vinay Nagar,"Jan 29, '21",East,other,500.0,1,apartment,5,23,1,Covered,,
not received,New Property,Unfurnished,2.0,0.37,Bolinj,"Jan 30, '21",North - East,other,415.0,1,apartment,5,23,0,Open,,
not received,New Property,Unfurnished,2.0,0.22,Nilemore,"Jan 31, '21",East,other,380.0,1,apartment,12,15,1,Open,,
not received,New Property,Unfurnished,3.0,4.6,Shree Siddhivinayak Mandir Chowk,"Jan 30, '21",North - East,other,1099.0,3,apartment,28,40,1,Covered,,
not received,New Property,Semi-Furnished,1.0,0.45,Navi Mumbai-Khargar-Panvel,"Jan 29, '21",North - East,other,438.0,1,apartment,12,37,1,Covered,,
received,Resale,Unfurnished,2.0,1.35,Jankalyan Nagar,"Jan 31, '21",East,main road,680.0,2,apartment,3,10,1,Open,,
received,Resale,Furnished,4.0,12.0,JVPD Scheme,"Jan 29, '21",East,main road,1900.0,4,apartment,3,6,2,Covered,,
received,Resale,Semi-Furnished,3.0,2.6,Kokani Pada,"Jan 30, '21",East,other,1162.0,3,apartment,5,55,2,Covered,,
received,Resale,Furnished,2.0,1.55,Jankalyan Nagar,"Jan 30, '21",North - East,other,657.0,2,apartment,8,22,1,Covered,,
received,Resale,Unfurnished,2.0,2.8,SV Patel Nagar,"Jan 29, '21",East,main road,980.0,3,apartment,12,15,1,Covered,,
received,Resale,Unfurnished,2.0,0.92,Jankalyan Nagar,"Jan 30, '21",East,other,425.0,1,apartment,7,8,0,Open,,
received,Resale,Unfurnished,3.0,3.5,Best Nagar - Goregaon West,"Jan 29, '21",West,other,1257.0,3,apartment,39,44,1,Covered,,
received,Resale,Semi-Furnished,4.0,0.73,Bolinj,"Jan 29, '21",South,other,825.0,2,apartment,4,7,1,Open,,
received,Resale,Semi-Furnished,1.0,2.7,Konkan Nagar,"Jan 22, '21",West,main road,605.0,2,apartment,4,4,0,Open,,
received,Resale,Semi-Furnished,2.0,1.55,Siddhartha Nagar,"Jan 31, '21",None,main road,650.0,2,apartment,6,7,1,Covered,,
received,Resale,Semi-Furnished,2.0,2.7,Godrej garden A type,"Jan 31, '21",None,main road,725.0,2,apartment,12,20,0,Open,,
received,Resale,Furnished,1.0,1.2,Om Ganesh CHS,"Jan 31, '21",None,main road,245.0,1,apartment,2,2,0,Open,,
received,Resale,Unfurnished,3.0,3.15,SD Group Epsilon,"Jan 29, '21",North - East,other,1470.0,3,apartment,2,45,0,Open,,
received,Resale,Furnished,3.0,3.25,Godrej Central A to G Towers,"Jan 31, '21",None,main road,882.0,3,apartment,7,14,0,Open,,
received,New Property,Unfurnished,2.0,0.37,Boisar - Palghar Road,"Jan 30, '21",North - West,main road,740.0,2,apartment,1,3,0,Open,,
received,Resale,Semi-Furnished,1.0,1.05,Laxmi Ratan Co.Op.Scy.,"Jan 19, '21",North,main road,204.0,1,apartment,1,3,0,Open,,
received,Resale,Unfurnished,2.0,2.6,nuemec niwara society,"Jan 22, '21",East,main road,660.0,2,apartment,1,7,0,Open,,
received,Resale,Furnished,1.0,1.1,Heather CHS,"Jan 23, '21",East,other,477.0,1,apartment,1,2,0,Open,,
received,Resale,Furnished,3.0,4.25,Shantikamal chsl,"Jan 16, '21",East,main road,1125.0,3,apartment,4,23,1,Open,,
received,Resale,Unfurnished,6.0,1.7,Rugmini sandesh,"Jan 31, '21",None,main road,1600.0,6,apartment,1,2,0,Open,,
received,Resale,Unfurnished,1.0,0.29,Jankalyan Nagar,"Jan 29, '21",West,main road,180.0,1,Studio,5,7,0,Open,,
not received,New Property,Unfurnished,2.0,2.45,Samta Nagar,"Jan 31, '21",East,other,764.0,2,apartment,30,45,1,Covered,,
received,Resale,Unfurnished,1.0,0.9,Sambhav Darshan,"Jan 19, '21",East,main road,300.0,1,apartment,2,3,0,Open,,
received,Resale,Semi-Furnished,4.0,3.0,Swami Jairamdas chs,"Jan 09, '21",North - West,main road,1400.0,4,apartment,2,5,1,Open,,
received,Resale,Furnished,2.0,0.9,Kandarpada,"Jan 27, '21",North,main road,431.0,1,apartment,8,8,0,Open,,
received,Resale,Furnished,2.0,0.43,Bhiwendi,"Jan 26, '21",North - East,other,1025.0,2,apartment,2,7,1,Open,,
received,Resale,Furnished,2.0,2.05,SBI Employees Aparna,"Jan 03, '21",East,main road,650.0,2,apartment,11,12,0,Open,,
received,Resale,Furnished,2.0,2.5,Hrishikesh apartment,"Jan 31, '21",East,main road,1155.0,1,apartment,14,19,1,Open,,
